ct,GEOID,svi_ptile,transit_ptile,asthmavalue,PTRAF,PTRAF_bycensus,No_of_Stops,PTover45m_pct,,,,,,,,,,,,,,,
24510090800,245100908002,0.7056,0.457627119,0.137,1492.032997,1365.687481,25,93.27,,,,,,,,,,,,,,,
24510090800,245100908003,0.7056,0.457627119,0.137,1202.803441,1365.687481,25,93.27,,,,,,,,,,,,,,,
24510090800,245100908004,0.7056,0.457627119,0.137,1284.617754,1365.687481,25,93.27,,,,,,,,,,,,,,,
24510090800,245100908005,0.7056,0.457627119,0.137,1610.873024,1365.687481,25,93.27,,,,,,,,,,,,,,,
24510090900,245100909001,0.7817,0.520801233,0.131,1722.034375,1622.577654,14,63.91,,,,,,,,,,,,,,,
24510090900,245100909002,0.7817,0.520801233,0.131,1350.893721,1622.577654,14,63.91,,,,,,,,,,,,,,,
24510090900,245100909003,0.7817,0.520801233,0.131,1602.767139,1622.577654,14,63.91,,,,,,,,,,,,,,,
24510090900,245100909004,0.7817,0.520801233,0.131,1814.615381,1622.577654,14,63.91,,,,,,,,,,,,,,,
24510100100,245101001001,0.9188,0.668721109,0.137,2684.877617,2925.952634,12,99.51,,,,,,,,,,,,,,,
24510100100,245101001002,0.9188,0.668721109,0.137,5827.090378,2925.952634,12,99.51,,,,,,,,,,,,,,,
24510100100,245101001003,0.9188,0.668721109,0.137,1248.81038,2925.952634,12,99.51,,,,,,,,,,,,,,,
24510100100,245101001004,0.9188,0.668721109,0.137,1943.032162,2925.952634,12,99.51,,,,,,,,,,,,,,,
24510100200,245101002001,0.9848,0.306625578,0.148,1829.371864,2532.014023,15,48.68,,,,,,,,,,,,,,,
24510100200,245101002002,0.9848,0.306625578,0.148,2698.775382,2532.014023,15,48.68,,,,,,,,,,,,,,,
24510100200,245101002003,0.9848,0.306625578,0.148,3067.894822,2532.014023,15,48.68,,,,,,,,,,,,,,,
24510100300,245101003001,NA,NA,0.107,6093.446853,6093.446853,2,NA,,,,,,,,,,,,,,,
24510110100,245101101001,0.1269,0.151001541,0.088,7913.516755,6991.937177,13,45.77,,,,,,,,,,,,,,,
24510110100,245101101002,0.1269,0.151001541,0.088,6070.357599,6991.937177,13,45.77,,,,,,,,,,,,,,,
24510110200,245101102001,0.3096,0.083204931,0.09,5154.173375,4447.153004,28,43.93,,,,,,,,,,,,,,,
24510110200,245101102002,0.3096,0.083204931,0.09,4534.358349,4447.153004,28,43.93,,,,,,,,,,,,,,,
24510110200,245101102003,0.3096,0.083204931,0.09,3652.927287,4447.153004,28,43.93,,,,,,,,,,,,,,,
24510120100,245101201001,0.3249,0.403697997,0.081,923.1685558,738.1952503,14,45.05,,,,,,,,,,,,,,,
24510120100,245101201002,0.3249,0.403697997,0.081,602.5224715,738.1952503,14,45.05,,,,,,,,,,,,,,,
24510120100,245101201003,0.3249,0.403697997,0.081,657.7065864,738.1952503,14,45.05,,,,,,,,,,,,,,,
24510120100,245101201004,0.3249,0.403697997,0.081,769.3833874,738.1952503,14,45.05,,,,,,,,,,,,,,,
24510120201,245101202011,0.07107,0.05238829,0.088,1659.949814,1713.003362,10,30.69,,,,,,,,,,,,,,,
24510120201,245101202012,0.07107,0.05238829,0.088,1766.05691,1713.003362,10,30.69,,,,,,,,,,,,,,,
24510120202,245101202021,0.3909,0.06779661,0.092,1617.952768,2180.583405,16,23.4,,,,,,,,,,,,,,,
24510120202,245101202022,0.3909,0.06779661,0.092,2262.15966,2180.583405,16,23.4,,,,,,,,,,,,,,,
24510120202,245101202023,0.3909,0.06779661,0.092,2053.70456,2180.583405,16,23.4,,,,,,,,,,,,,,,
24510120202,245101202024,0.3909,0.06779661,0.092,2426.482387,2180.583405,16,23.4,,,,,,,,,,,,,,,
24510120202,245101202025,0.3909,0.06779661,0.092,2542.61765,2180.583405,16,23.4,,,,,,,,,,,,,,,
24510120300,245101203001,0.2843,0.169491525,0.104,2701.43523,2144.727815,3,34.31,,,,,,,,,,,,,,,
24510120300,245101203002,0.2843,0.169491525,0.104,2356.475741,2144.727815,3,34.31,,,,,,,,,,,,,,,
24510120300,245101203003,0.2843,0.169491525,0.104,1888.726766,2144.727815,3,34.31,,,,,,,,,,,,,,,
24510120300,245101203004,0.2843,0.169491525,0.104,1632.273522,2144.727815,3,34.31,,,,,,,,,,,,,,,
24510120400,245101204001,0.4061,0.349768875,0.119,1800.460736,1647.031994,4,61.24,,,,,,,,,,,,,,,
24510120400,245101204002,0.4061,0.349768875,0.119,1493.603251,1647.031994,4,61.24,,,,,,,,,,,,,,,
24510120500,245101205001,0.4264,0.158705701,0.106,5090.856082,4571.490277,19,63.19,,,,,,,,,,,,,,,
24510120500,245101205002,0.4264,0.158705701,0.106,4052.124472,4571.490277,19,63.19,,,,,,,,,,,,,,,
24510120600,245101206001,0.7107,0.087827427,0.109,2884.271903,2522.574305,25,57.78,,,,,,,,,,,,,,,
24510120600,245101206002,0.7107,0.087827427,0.109,1727.346581,2522.574305,25,57.78,,,,,,,,,,,,,,,
24510120600,245101206003,0.7107,0.087827427,0.109,2956.10443,2522.574305,25,57.78,,,,,,,,,,,,,,,
24510120700,245101207001,0.2234,0.154083205,0.097,1496.876505,1946.130805,13,26.34,,,,,,,,,,,,,,,
24510120700,245101207002,0.2234,0.154083205,0.097,2432.581341,1946.130805,13,26.34,,,,,,,,,,,,,,,
24510120700,245101207003,0.2234,0.154083205,0.097,1908.934569,1946.130805,13,26.34,,,,,,,,,,,,,,,
24510130100,245101301001,0.6751,0.526964561,0.121,5776.716707,2909.87611,7,76.09,,,,,,,,,,,,,,,
24510130100,245101301002,0.6751,0.526964561,0.121,3695.113481,2909.87611,7,76.09,,,,,,,,,,,,,,,
24510130100,245101301003,0.6751,0.526964561,0.121,988.277083,2909.87611,7,76.09,,,,,,,,,,,,,,,
24510130100,245101301004,0.6751,0.526964561,0.121,1179.397167,2909.87611,7,76.09,,,,,,,,,,,,,,,
24510130200,245101302001,0.467,0.343605547,0.12,5982.088495,3015.218615,6,78.66,,,,,,,,,,,,,,,
24510130200,245101302002,0.467,0.343605547,0.12,2821.061716,3015.218615,6,78.66,,,,,,,,,,,,,,,
24510130200,245101302003,0.467,0.343605547,0.12,1229.752711,3015.218615,6,78.66,,,,,,,,,,,,,,,
24510130200,245101302004,0.467,0.343605547,0.12,2027.971537,3015.218615,6,78.66,,,,,,,,,,,,,,,
24510130300,245101303001,0.7513,0.19568567,0.131,1470.798152,1629.173488,13,45.45,,,,,,,,,,,,,,,
24510130300,245101303002,0.7513,0.19568567,0.131,1678.352427,1629.173488,13,45.45,,,,,,,,,,,,,,,
24510130300,245101303003,0.7513,0.19568567,0.131,1738.369885,1629.173488,13,45.45,,,,,,,,,,,,,,,
24510130400,245101304001,0.7411,0.440677966,0.126,4219.572889,3231.967391,13,34.3,,,,,,,,,,,,,,,
24510130400,245101304002,0.7411,0.440677966,0.126,2183.626423,3231.967391,13,34.3,,,,,,,,,,,,,,,
24510130400,245101304003,0.7411,0.440677966,0.126,3292.702862,3231.967391,13,34.3,,,,,,,,,,,,,,,
24510130600,245101306001,0.02538,0.055469954,0.087,2460.967216,1150.894234,13,55,,,,,,,,,,,,,,,
24510130600,245101306002,0.02538,0.055469954,0.087,258.1941197,1150.894234,13,55,,,,,,,,,,,,,,,
24510130600,245101306003,0.02538,0.055469954,0.087,862.1033576,1150.894234,13,55,,,,,,,,,,,,,,,
24510130600,245101306004,0.02538,0.055469954,0.087,1022.312243,1150.894234,13,55,,,,,,,,,,,,,,,
24510130700,245101307001,0.1827,0.092449923,0.086,308.7718751,444.52056,23,29.74,,,,,,,,,,,,,,,
24510130700,245101307002,0.1827,0.092449923,0.086,456.8117004,444.52056,23,29.74,,,,,,,,,,,,,,,
24510130700,245101307003,0.1827,0.092449923,0.086,170.5583984,444.52056,23,29.74,,,,,,,,,,,,,,,
24510130700,245101307004,0.1827,0.092449923,0.086,419.6367318,444.52056,23,29.74,,,,,,,,,,,,,,,
24510130700,245101307005,0.1827,0.092449923,0.086,961.2360967,444.52056,23,29.74,,,,,,,,,,,,,,,
24510130700,245101307006,0.1827,0.092449923,0.086,350.1085578,444.52056,23,29.74,,,,,,,,,,,,,,,
24510130803,245101308031,0.1726,0.325115562,0.092,5078.889623,3393.953667,5,16.24,,,,,,,,,,,,,,,
24510130803,245101308032,0.1726,0.325115562,0.092,3544.802286,3393.953667,5,16.24,,,,,,,,,,,,,,,
24510130803,245101308033,0.1726,0.325115562,0.092,1558.169093,3393.953667,5,16.24,,,,,,,,,,,,,,,
24510130804,245101308041,0.1168,0.064714946,0.095,1755.128511,2507.562215,8,17.69,,,,,,,,,,,,,,,
24510130804,245101308042,0.1168,0.064714946,0.095,3259.995918,2507.562215,8,17.69,,,,,,,,,,,,,,,
24510130805,245101308051,0.2437,0.901386749,0.108,379.8414244,379.8414244,7,84.62,,,,,,,,,,,,,,,
24510130806,245101308061,0.264,0.420647149,0.094,2090.893193,2090.893193,18,40.91,,,,,,,,,,,,,,,
24510140100,245101401001,0.4569,0.144838213,0.099,4716.099051,3361.979505,8,54.69,,,,,,,,,,,,,,,
24510140100,245101401002,0.4569,0.144838213,0.099,5915.250246,3361.979505,8,54.69,,,,,,,,,,,,,,,
24510140100,245101401003,0.4569,0.144838213,0.099,1393.565693,3361.979505,8,54.69,,,,,,,,,,,,,,,
24510140100,245101401004,0.4569,0.144838213,0.099,1423.003029,3361.979505,8,54.69,,,,,,,,,,,,,,,
24510140200,245101402001,0.7868,0.45146379,0.142,834.956301,610.5808622,7,62.63,,,,,,,,,,,,,,,
24510140200,245101402002,0.7868,0.45146379,0.142,836.9731038,610.5808622,7,62.63,,,,,,,,,,,,,,,
24510140200,245101402003,0.7868,0.45146379,0.142,325.4791194,610.5808622,7,62.63,,,,,,,,,,,,,,,
24510140200,245101402004,0.7868,0.45146379,0.142,444.9149244,610.5808622,7,62.63,,,,,,,,,,,,,,,
24510140300,245101403001,0.6701,0.221879815,0.13,1911.679338,1361.080273,8,15.81,,,,,,,,,,,,,,,
24510140300,245101403002,0.6701,0.221879815,0.13,1399.725005,1361.080273,8,15.81,,,,,,,,,,,,,,,
24510140300,245101403003,0.6701,0.221879815,0.13,1300.761414,1361.080273,8,15.81,,,,,,,,,,,,,,,
24510140300,245101403004,0.6701,0.221879815,0.13,832.1553363,1361.080273,8,15.81,,,,,,,,,,,,,,,
24510150100,245101501001,0.934,0.839753467,0.143,1550.911048,929.9723091,6,53.21,,,,,,,,,,,,,,,
24510150100,245101501002,0.934,0.839753467,0.143,786.3048782,929.9723091,6,53.21,,,,,,,,,,,,,,,
